"SubscriptionItemID","SubscriptionID","SubscriptionItemType","SubscriptionItemName","ProductID","VariationID","ProductSKU","Quantity","LineSubtotal","LineSubtotalTax","LineTotal","LineTotalTax","TaxClass","LineTaxData"
"74","2787","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"78","2807","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"82","2830","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"86","2862","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"120","2959","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"210","3074","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"224","3085","line_item","Altijd Aard'g • Pro Abonnement - Half jaar","1050","2779",NULL,"1","39.95","0.00","39.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"269","3119","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"279","3132","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"299","3156","line_item","Altijd Aard'g • Pro Abonnement - 1 jaar","1050","2780",NULL,"1","34.95","0.00","34.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"313","3168","line_item","Altijd Aard'g • Starter Abonnement - Half jaar","1049","2781",NULL,"1","24.95","0.00","24.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"319","3173","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"335","3310","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"344","3320","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"355","3345","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"373","3443","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"379","3450","line_item","Altijd Aard'g • Starter Abonnement - Half jaar","1049","2781",NULL,"1","24.95","0.00","24.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"402","3612","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"408","3622","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"413","3640","line_item","Altijd Aard'g • Pro Abonnement - 1 jaar","1050","2780",NULL,"1","34.95","0.00","34.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"448","4083","line_item","Altijd Aard'g • Starter Abonnement - 1 jaar","1049","2782",NULL,"1","19.95","0.00","19.95","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"571","4696","line_item","Ochtend Kombucha - Twee","4093","4094",NULL,"1","19.99","0.00","19.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"501","4796","line_item","Ochtend Kombucha - Twee","4093","4094",NULL,"1","19.99","0.00","19.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"15550","4878","line_item","4x 1L Kombucha Original Abonnement","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"162696","4889","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","0.00","0.00","0.00","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"551","4916","line_item","Ochtend Kombucha - Vier","4093","4095",NULL,"1","28.99","0.00","28.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"631","5224","line_item","Ochtend Kombucha - Vier","4093","4095",NULL,"1","25.99","0.00","25.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"664","5623","line_item","Ochtend Kefir - Vier","4106","4108",NULL,"1","27.99","0.00","27.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"670","5733","line_item","Ochtend Kombucha - Zes","4093","4096",NULL,"1","32.99","0.00","32.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"732","6232","line_item","Aard'g Standaard • Ochtend Mix","5406","0",NULL,"1","26.99","0.00","26.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"745","6285","line_item","Aard'g Standaard  • Regelmaat Kombucha","5388","0",NULL,"1","25.99","0.00","25.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"966","6306","line_item","Aard'g Eenvoudig • Ochtend Kefir","5400","0",NULL,"1","15.99","0.00","15.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
