"SubscriptionShippingID","SubscriptionID","ShippingMethodName","ShippingCost","ShippingTax"
"73","2787","Vast Tarief","3.95","0.00"
"77","2807","Vast Tarief","3.95","0.00"
"81","2830","Vast Tarief","3.95","0.00"
"85","2862","Vast Tarief","3.95","0.00"
"119","2959","Vast Tarief","3.95","0.00"
"209","3074","Vast Tarief","3.95","0.00"
"223","3085","Vast Tarief","3.95","0.00"
"268","3119","Vast Tarief","3.95","0.00"
"278","3132","Vast Tarief","3.95","0.00"
"298","3156","Vast Tarief","3.95","0.00"
"312","3168","Vast Tarief","3.95","0.00"
"318","3173","Vast Tarief","3.95","0.00"
"334","3310","Vast Tarief","3.95","0.00"
"343","3320","Vast Tarief","3.95","0.00"
"354","3345","Vast Tarief","3.95","0.00"
"372","3443","Vast Tarief","3.95","0.00"
"378","3450","Vast Tarief","3.95","0.00"
"401","3612","Vast Tarief","3.95","0.00"
"407","3622","Vast Tarief","3.95","0.00"
"412","3640","Vast Tarief","3.95","0.00"
"447","4083","Vast Tarief","3.95","0.00"
"572","4696","Vast Tarief","3.95","0.00"
"500","4796","Vast Tarief","3.95","0.00"
"1847","4878","Gratis Verzending twv 6,95","0.00","0.00"
"163735","4889","Verzendkosten","0.00","0.00"
"550","4916","Vast Tarief","3.95","0.00"
"630","5224","Vast Tarief","3.95","0.00"
"663","5623","Vast Tarief","3.99","0.00"
"669","5733","Vast Tarief","3.99","0.00"
"731","6232","Vast Tarief","3.99","0.00"
"744","6285","Vast Tarief","3.99","0.00"
"750","6306","Vast Tarief","3.99","0.00"
"757","6320","Vast Tarief","3.99","0.00"
"765","6349","Vast Tarief","3.99","0.00"
"771","6374","Vast Tarief","3.99","0.00"
"784","6428","Vast Tarief","3.99","0.00"
"827","6654","Vast Tarief","3.99","0.00"
"833","6681","Vast Tarief","3.99","0.00"
"853","6803","Vast Tarief","3.99","0.00"
"883","6987","Vast Tarief","3.99","0.00"
"1849","7056","Gratis verzending twv 6,95","0.00","0.00"
"909","7398","Gratis verzending t.w.v. 6,95","0.00","0.00"
"1905","7539","Gratis verzending twv 6,95","0.00","0.00"
"956","7806","Vast Tarief","3.99","0.00"
"970","7875","Vast Tarief","3.99","0.00"
"1006","8106","Vast Tarief","6.99","0.00"
"1024","8400","Vast Tarief","3.99","0.00"
"1422","9930","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1509","10420","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1535","10523","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1547","10546","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1553","10584","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1557","10606","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1561","10628","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1572","10695","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"103305","10839","Verzendkosten","3.99","0.00"
"103306","10855","Verzendkosten","3.99","0.00"
"1600","10961","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1604","10982","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1614","11018","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1618","11032","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1622","11066","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1632","11144","Gratis verzending (t.w.v. €9,80)","0.00","0.00"
"1636","11170","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"103307","11188","Verzendkosten","3.99","0.00"
"103308","11247","Verzendkosten","3.99","0.00"
"1650","11260","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"1660","11585","Gratis verzending (t.w.v. €9,80)","0.00","0.00"
"1666","11898","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
"103309","12169","Verzendkosten","3.99","0.00"
"1692","12295","Gratis verzending (t.w.v. €6,95)","0.00","0.00"
